"filename", "language", "Dart", "comment", "blank", "total"
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/formatters/date_textfield_formatter.dart", "Dart", 0, 1, 0, 1
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/helpers/local_functions.dart", "Dart", 145, 6, 15, 166
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/crew.dart", "Dart", 0, -1, 1, 0
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/crew_request.dart", "Dart", 16, 19, 1, 36
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/match.dart", "Dart", -6, 1, 1, -4
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/profile.dart", "Dart", 33, 1, 0, 34
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/auth_repository.dart", "Dart", 58, 1, 0, 59
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/crew_repository.dart", "Dart", 29, 3, 4, 36
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/droptime_repository.dart", "Dart", 1, 0, 0, 1
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/likes_repository.dart", "Dart", 4, 0, 1, 5
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/misc_functions_repository.dart", "Dart", 21, 2, 0, 23
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/button_dialog.dart", "Dart", 8, 0, 0, 8
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/group_card.dart", "Dart", 7, -10, -1, -4
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/match_history_widget.dart", "Dart", 0, -10, 0, -10
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/user_card.dart", "Dart", -1, 0, 0, -1
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/user_image_small_empty_button.dart", "Dart", 27, 6, 4, 37
