"filename", "language", "Dart", "comment", "blank", "total"
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/view_user.dart", "Dart", 24, 0, 1, 25
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view.dart", "Dart", 10, -20, -1, -11
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view_bloc.dart", "Dart", -2, -12, -2, -16
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/app_view/app_view_event.dart", "Dart", -6, 5, 0, -1
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/feed/venue_screen.dart", "Dart", 98, 171, 10, 279
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friend_list_screen.dart", "Dart", -1, 1, 0, 0
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friend_request_screen.dart", "Dart", -1, 0, 0, -1
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/friends/friends_bloc.dart", "Dart", -2, 1, 0, -1
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/likes/basic_likes_view.dart", "Dart", -27, -3, -3, -33
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/likes/likes_bloc.dart", "Dart", 59, 19, 11, 89
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/likes/likes_event.dart", "Dart", 15, 9, 15, 39
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/likes/likes_state.dart", "Dart", 29, 5, 4, 38
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/likes/likes_view.dart", "Dart", 359, 58, 19, 436
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/add_third_screen.dart", "Dart", 61, 3, 5, 69
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/crew_request_bloc.dart", "Dart", 19, 0, 1, 20
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/crew_request_event.dart", "Dart", 4, 1, 2, 7
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/crew/crew_request_screen.dart", "Dart", 131, 24, 3, 158
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/match_list_screen.dart", "Dart", 25, -1, 3, 27
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_bloc.dart", "Dart", -2, 14, -1, 11
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_event.dart", "Dart", -2, 0, 0, -2
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/meet/meet_view.dart", "Dart", 63, 4, 5, 72
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/edit_profile/edit_profile_bloc.dart", "Dart", 1, 0, 0, 1
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view.dart", "Dart", 7, 2, 1, 10
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_bloc.dart", "Dart", -12, 7, 1, -4
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_event.dart", "Dart", -1, 0, 0, -1
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_state.dart", "Dart", -2, 0, 0, -2
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/screens/contacts_screen.dart", "Dart", 0, -2, 1, -1
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/screens/profile_photo_screen.dart", "Dart", 0, 1, 1, 2
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_state.dart", "Dart", 0, 1, 0, 1
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_confirmation_screen.dart", "Dart", -2, 2, 0, 0
"Total", "-", 1187, 309, 102, 1598
