"filename", "language", "Groovy", "Dart", "HTML", "Properties", "XML", "YAML", "JSON", "Markdown", "Swift", "C++", "comment", "blank", "total"
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_bloc.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 128
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_event.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/authenticated/profile/view_profile/profile_view_state.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 66
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/onboarding_cubit.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/onboarding_navigator.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/onboarding_state.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/screens/contacts_screen.dart", "Dart", 0, 319, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 347
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/screens/profile_photo_screen.dart", "Dart", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 162
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/onboarding/screens/update_profile_screen.dart", "Dart", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 215
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/intro_page_view.dart", "Dart", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 108
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_five.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_four.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_one.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_three.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/app_intro/pages/intro_page_two.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/auth_cubit.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/auth_navigator.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 45
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/auth_state.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_bloc.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 40
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_event.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_state.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 64
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/dob/dob_view.dart", "Dart", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 114
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/name/name_bloc.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 36
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/name/name_event.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/name/name_state.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 26
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/name/name_view.dart", "Dart", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 103
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_auth_state.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_bloc.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_confirmation_screen.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 106
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_event.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 22
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_state.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/shanehogan/development/white_ui_supabase4/lib/pages/unauthenticated/auth/phone/phone_view.dart", "Dart", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 107
"/Users/shanehogan/development/white_ui_supabase4/lib/session_navigation/session_cubit.dart", "Dart", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 84
"/Users/shanehogan/development/white_ui_supabase4/lib/session_navigation/session_navigator.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 56
"/Users/shanehogan/development/white_ui_supabase4/lib/session_navigation/session_state.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/shanehogan/development/white_ui_supabase4/pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 55, 20, 112
"/Users/shanehogan/development/white_ui_supabase4/test/widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 31
"/Users/shanehogan/development/white_ui_supabase4/web/index.html", "HTML", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 18, 7, 105
"/Users/shanehogan/development/white_ui_supabase4/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"Total", "-", 88, 8807, 80, 8, 123, 40, 186, 13, 12, 1, 933, 963, 11254
