"filename", "language", "Dart", "YAML", "Markdown", "Groovy", "Properties", "Swift", "C++", "XML", "JSON", "HTML", "comment", "blank", "total"
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/friendship.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 36
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/like.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 52
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/match.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 56
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/match_confirmation.dart", "Dart", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 66
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/profile.dart", "Dart", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 236
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/models/venue.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/auth_repository.dart", "Dart", 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 12, 285
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/crew_repository.dart", "Dart", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 15, 210
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/droptime_repository.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/friends_repository.dart", "Dart", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 102
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/likes_repository.dart", "Dart", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 155
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/misc_functions_repository.dart", "Dart", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 208
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/storage_repository.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/repos/venues_repository.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/app_bars.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 51
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/avatar.dart", "Dart", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/button_dialog.dart", "Dart", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 61
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/choice_button.dart", "Dart", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/continue_button.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/empty_screen.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 25
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/friend_avatar.dart", "Dart", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 38
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/friends_widget.dart", "Dart", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 100
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/generic_black_text_button.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/group_card.dart", "Dart", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 14, 247
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/group_image_small.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 49
"/Users/shanehogan/development/white_ui_supabase4/lib/auxiliaries/widgets/input_border.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
